05/20/2025,OISHII TEA,7.46,275.95
05/15/2025,TIM HORTONS #3122,5.59,254.99
05/14/2025,TIM HORTONS #3020,6.58,249.4
05/12/2025,OSMOW'S,13.55,242.82
05/12/2025,PAYMENT - THANK YOU,390.99,229.27
05/12/2025,AMZN Mktp CA,11.3,620.26
05/05/2025,OSMOW'S,21.28,631.56
05/04/2025,WAL-MART SUPERCENTER#1079,51.79,610.28
05/02/2025,TIM HORTONS #3020,19.55,558.49
05/01/2025,SPOTIFY,7.22,538.94
04/27/2025,TACO BELL BRAMALEA,19.99,531.72
04/26/2025,SQ *CINNAHOLIC,7.33,511.73
04/24/2025,Subway 60876,17.38,504.4
04/24/2025,AMZN Mktp CA*HE76559J3,96.03,487.02
04/19/2025,THAI EXPRESS - 2133,18.64,384.79
04/17/2025,SQ *CINNAHOLIC,7.33,366.15
04/15/2025,TIM HORTONS #3020,13.14,358.82
04/14/2025,JOLLIBEE,14.11,345.68
04/14/2025,PRESTO DUNDAS STN,150.0,331.57
04/10/2025,Subway 60876,18.74,181.57
04/01/2025,SPOTIFY,7.22,162.83
04/01/2025,AMZN Mktp CA*PJ68J1IS3,81.6,155.61
04/01/2025,OISHII TEA,7.46,74.01
03/23/2025,LONGO'S # 7,30.98,66.55
03/20/2025,Subway 60876,15.24,35.57
03/20/2025,UDEMY: ONLINE COURSES,20.33,20.33
03/19/2025,PAYMENT - THANK YOU,566.82,0.0
09/17/2025,Huiyi International Inc,6.20,178.35
09/17/2025,JOLLIBEE,12.98,172.15
09/17/2025,SQ *CINNAHOLIC,9.32,159.17
09/11/2025,Amazon.ca*9G1LF5123,38.49,149.85
09/10/2025,STARBUCKS COFFEE #2327,12.43,111.36
09/08/2025,PAYMENT - THANK YOU,717.47,98.93
09/06/2025,EVENTBRITE/GOOGLEDEVFE,27.96,816.4
09/05/2025,PROFESSOR MESSER,70.97,788.44
09/03/2025,"CompTIA, Inc.",436.23,717.47
09/01/2025,SPOTIFY,7.22,281.24
09/01/2025,PRESTO FARE/PVDF7KW2PL,19.52,274.02
09/01/2025,SHOPPERS DRUG MART #14,7.88,254.5
08/30/2025,STARBUCKS COFFEE #2327,13.67,246.62
08/28/2025,NO FRILLS ROCKY'S #718,19.6,232.95
08/27/2025,TIM HORTONS #3122,0.12,213.35
08/27/2025,NO FRILLS ROCKY'S #718,12.64,213.23
08/25/2025,OSMOW'S,7.73,200.59
08/22/2025,STARBUCKS COFFEE #2327,14.13,192.86
08/20/2025,UDEMY: ONLINE COURSES,82.46,178.73
08/19/2025,TMU FIN SERVICES,20.0,96.27
08/19/2025,AMZN Mktp CA*VY7HC3YN3,53.21,76.27
08/15/2025,Kindle Svcs,5.41,473.46
08/14/2025,TIM HORTONS #3020,2.97,468.05
08/13/2025,OSMOW'S,14.68,465.08
08/11/2025,SKIPTHEDISHES,23.43,450.4
08/08/2025,VU SALON AND SPA,86.39,426.97
08/08/2025,ESSO CIRCLE K,39.13,340.58
08/08/2025,PAYMENT - THANK YOU,541.37,301.45
08/07/2025,STARBUCKS COFFEE #2327,19.15,842.82
08/05/2025,SUBWAY 29630,16.7,823.67
08/03/2025,STARBUCKS COFFEE #2327,14.46,806.97
08/02/2025,OLD NAVY CANADA 5461,111.31,792.51
08/02/2025,MR. PRETZELS,7.45,681.2
08/01/2025,SPOTIFY,7.22,673.75
07/31/2025,TIM HORTONS #3122,8.64,666.53
07/31/2025,NO FRILLS ROCKY'S #718,4.0,657.89
07/26/2025,SQ *BAZAAR GIFT SHOP - KE,16.95,653.89
07/26/2025,PRESTO FARE/PMCRQJ9BXF,6.6,636.94
07/25/2025,SUBWAY 58685,6.21,630.34
07/24/2025,TIM HORTONS #3122,3.41,624.13
07/22/2025,WAL-MART SUPERCENTER#1079,64.61,620.72
07/21/2025,STARBUCKS COFFEE #2327,6.72,556.11
07/19/2025,NO FRILLS ROCKY'S #718,8.02,549.39
07/16/2025,NO FRILLS ROCKY'S #718,15.48,491.69
07/15/2025,Subway 60876,15.47,476.21
07/14/2025,AMZN Mktp CA*QP3FH0VH3,35.91,460.74
07/12/2025,NO FRILLS ROCKY'S #718,26.71,424.83
07/09/2025,KFC/TACO BELL,16.55,398.12
07/07/2025,DAIRY QUEEN #12278,11.84,381.57
07/04/2025,STARBUCKS COFFEE #2327,7.06,369.73
07/01/2025,ESSO CIRCLE K,30.76,362.67
07/01/2025,SPOTIFY,7.22,331.91
07/01/2025,ULTRAMAR # 42221,27.87,324.69
06/30/2025,SKIPTHEDISHES,22.96,296.82
06/30/2025,METRO 100428,5.29,273.86
06/30/2025,SHOPPERS DRUG MART #12,22.8,268.57
06/29/2025,CHOCOLATE N CHILL,9.04,245.77
06/29/2025,CHATIME CHA120,8.81,236.73
06/29/2025,Subway 17747,17.04,227.92
06/28/2025,THAI EXPRESS - 2139,19.88,210.88
06/28/2025,MCDONALD'S #13277  QPS,5.64,191.0
06/27/2025,TIM HORTONS #2927,3.19,185.36
06/27/2025,MAHAL TANJORE,40.28,182.17
06/27/2025,BURGER KING #18025,7.33,141.89
06/27/2025,SHOPPERS DRUG MART #12,20.89,134.56
06/27/2025,STARBUCKS 04283,7.06,113.67
06/27/2025,ONROUTE ODESSA E #1172,35.0,106.61
06/27/2025,WAL-MART SUPERCENTER#1200,8.44,71.61
06/26/2025,ANGEL BEAUTY & HAIR SALO,5.65,63.17
06/26/2025,PAYMENT - THANK YOU,450.61,57.52
06/21/2025,NO FRILLS ROCKY'S #718,16.61,508.13
06/20/2025,Huiyi International Inc,6.2,491.52
06/20/2025,JOLLIBEE,15.81,485.32
06/19/2025,TIM HORTONS #3122,4.78,469.51
06/18/2025,Subway 58685,14.12,464.73
06/14/2025,SKIPTHEDISHES,27.88,443.15
06/12/2025,TIM HORTONS #3122,6.33,415.27
06/11/2025,AMZN Mktp CA*NH50K0SX0,40.08,408.94
06/11/2025,PAYMENT - THANK YOU,300.0,368.86
06/10/2025,TIM HORTONS #3122,7.31,668.86
06/10/2025,AMZN Mktp CA*NH8SX0GN1,24.96,661.55
06/09/2025,KFC/TACO BELL,23.45,636.59
06/09/2025,PAYMENT - THANK YOU,268.49,613.14
06/07/2025,POPEYES #11590,17.83,881.63
06/07/2025,TACO BELL SQUARE ONE,16.75,863.8
06/07/2025,URBAN BEHAVIOR #1521,72.89,847.05
06/06/2025,DOLLARAMA # 795,2.83,774.16
06/06/2025,FRESHCO #9612,14.0,771.33
06/05/2025,Subway 60876,18.74,757.33
06/05/2025,OISHII TEA,6.55,738.59
06/04/2025,UDEMY: ONLINE COURSES,20.33,732.04
06/03/2025,TIM HORTONS #3020,10.25,711.71
06/01/2025,SPOTIFY,7.22,701.46
06/01/2025,PEARL WELLNESS SPA INC.,248.6,694.24
05/29/2025,AMZN Mktp CA*NN3EB4M91,53.43,445.64
05/29/2025,AMZN Mktp CA*NN6F161D0,37.9,392.21
05/28/2025,Subway 58685,10.16,354.31
05/21/2025,AMZN Mktp CA*NZ7GT1F90,68.2,344.15
05/20/2025,OISHII TEA,7.46,275.95
05/15/2025,TIM HORTONS #3122,5.59,254.99
05/14/2025,TIM HORTONS #3020,6.58,249.4
05/12/2025,OSMOW'S,13.55,242.82
05/12/2025,PAYMENT - THANK YOU,390.99,229.27
05/12/2025,AMZN Mktp CA,11.3,620.26
05/05/2025,OSMOW'S,21.28,631.56
05/04/2025,WAL-MART SUPERCENTER#1079,51.79,610.28
05/02/2025,TIM HORTONS #3020,19.55,558.49
05/01/2025,SPOTIFY,7.22,538.94
04/27/2025,TACO BELL BRAMALEA,19.99,531.72
04/26/2025,SQ *CINNAHOLIC,7.33,511.73
04/24/2025,Subway 60876,17.38,504.4
04/24/2025,AMZN Mktp CA*HE76559J3,96.03,487.02
04/19/2025,THAI EXPRESS - 2133,18.64,384.79
04/17/2025,SQ *CINNAHOLIC,7.33,366.15
04/15/2025,TIM HORTONS #3020,13.14,358.82
04/14/2025,JOLLIBEE,14.11,345.68
04/14/2025,PRESTO DUNDAS STN,150.0,331.57
04/10/2025,Subway 60876,18.74,181.57
04/01/2025,SPOTIFY,7.22,162.83
04/01/2025,AMZN Mktp CA*PJ68J1IS3,81.6,155.61
04/01/2025,OISHII TEA,7.46,74.01
03/23/2025,LONGO'S # 7,30.98,66.55
03/20/2025,Subway 60876,15.24,35.57
03/20/2025,UDEMY: ONLINE COURSES,20.33,20.33
03/19/2025,PAYMENT - THANK YOU,566.82,0.0
